command,mean,stddev,median,user,system,min,max
instance_1 ,0.14337556591,0.017719348524667167,0.14337556591,0.12298262999999998,0.02786416,0.13084609441,0.15590503741
instance_2 ,0.17828393991000002,0.0011585428421791299,0.17828393991000002,0.15831462999999998,0.027930159999999996,0.17746472641000002,0.17910315341000002
instance_3 ,0.13059086491,0.0006753400090417417,0.13059086491,0.11135012999999999,0.026925659999999997,0.13011332741,0.13106840241
instance_4 ,0.44439482641000005,0.000944772441411159,0.44439482641000005,0.42189113,0.029939659999999996,0.44372677141000005,0.44506288141000006
instance_5 ,0.32893253591000005,0.0019242107927699746,0.32893253591000005,0.32066763,0.01549066,0.32757191341,0.33029315841
instance_6 ,0.70309431491,0.0029055576253312486,0.70309431491,0.68028413,0.02816916,0.70103977541,0.70514885441
instance_7 ,0.75191687991,0.001970604068683698,0.75191687991,0.7357156299999998,0.02355966,0.75052345241,0.75331030741
instance_8 ,0.58564577191,0.009135816077396339,0.58564577191,0.5702826299999999,0.02169066,0.57918577441,0.59210576941
instance_9 ,2.7699729894100003,0.03185058834000677,2.7699729894100003,2.73524213,0.03362916,2.74745122241,2.79249475641
instance_10 ,3.62425481841,0.007754881081466079,3.62425481841,3.59987963,0.03219266,3.61877128941,3.62973834741
